,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,mean,std_error
0,M1,yes,yes,1,flat,forward,log,distance,space,0.6695321460963605,0.22336141472711654
1,M2,yes,yes,1,flat,forward,log,distance,graph,0.7275731623916499,0.008935716794614546
2,M3,yes,yes,1,flat,forward,log,cos,space,0.7558827071067171,0.002511757103677287
3,M4,yes,yes,1,flat,forward,log,cos,graph,0.7182399219336875,0.004460422203087897
4,M5,yes,yes,1,flat,forward,log,corr,space,-0.7431115898648021,0.009387582576783488
5,M6,yes,yes,1,flat,forward,log,corr,graph,-0.43276603740437986,0.09670940644160748
6,M7,yes,yes,1,flat,forward,log,r_distance,space,0.7454253626074889,0.00798905160277065
7,M8,yes,yes,1,flat,forward,log,r_distance,graph,0.6563884709303658,0.041517171753644846
8,M9,yes,yes,1,flat,forward,log,r_cos,space,0.05330458698591467,0.18875235518194752
9,M10,yes,yes,1,flat,forward,log,r_cos,graph,0.17440199066685766,0.23535264239794518
10,M11,yes,yes,1,flat,forward,log,r_corr,space,0.21421930475558698,0.31088805163060235
11,M12,yes,yes,1,flat,forward,log,r_corr,graph,0.34687517562770054,0.22750702737914208
12,M13,yes,yes,1,flat,forward,log,cooc,space,0.5668714356300688,0.01321807345495782
13,M14,yes,yes,1,flat,forward,log,cooc,graph,0.7366497226536374,0.02148458223748927
14,M15,yes,yes,1,flat,forward,ppmi,distance,space,0.7239717960489267,0.010310047056388012
15,M16,yes,yes,1,flat,forward,ppmi,distance,graph,0.6159742978871042,0.01976530167893639
16,M17,yes,yes,1,flat,forward,ppmi,cos,space,0.7558827071067171,0.002511757103677287
17,M18,yes,yes,1,flat,forward,ppmi,cos,graph,0.7182399219336875,0.004460422203087897
18,M19,yes,yes,1,flat,forward,ppmi,corr,space,-0.7100956007505859,0.006578958012740708
19,M20,yes,yes,1,flat,forward,ppmi,corr,graph,-0.35305562055167894,0.06713035313945458
20,M21,yes,yes,1,flat,forward,ppmi,r_distance,space,0.7396434282193945,0.016495779882941614
21,M22,yes,yes,1,flat,forward,ppmi,r_distance,graph,0.6478898248588184,0.019219303937049303
22,M23,yes,yes,1,flat,forward,ppmi,r_cos,space,-0.16157958978142234,0.14164738893310203
23,M24,yes,yes,1,flat,forward,ppmi,r_cos,graph,-0.05777532640486954,0.2705557548555671
24,M25,yes,yes,1,flat,forward,ppmi,r_corr,space,-0.13571707844459016,0.2601534462217464
25,M26,yes,yes,1,flat,forward,ppmi,r_corr,graph,0.0962165691946805,0.17280334243522846
