Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation
M1,yes,yes,1,flat,forward,log,distance,space
M2,yes,yes,1,flat,forward,log,distance,graph
M3,yes,yes,1,flat,forward,log,cos,space
M4,yes,yes,1,flat,forward,log,cos,graph
M5,yes,yes,1,flat,forward,log,corr,space
M6,yes,yes,1,flat,forward,log,corr,graph
M7,yes,yes,1,flat,forward,log,r_distance,space
M8,yes,yes,1,flat,forward,log,r_distance,graph
M9,yes,yes,1,flat,forward,log,r_cos,space
M10,yes,yes,1,flat,forward,log,r_cos,graph
M11,yes,yes,1,flat,forward,log,r_corr,space
M12,yes,yes,1,flat,forward,log,r_corr,graph
M13,yes,yes,1,flat,forward,log,cooc,space
M14,yes,yes,1,flat,forward,log,cooc,graph
M15,yes,yes,1,flat,forward,ppmi,distance,space
M16,yes,yes,1,flat,forward,ppmi,distance,graph
M17,yes,yes,1,flat,forward,ppmi,cos,space
M18,yes,yes,1,flat,forward,ppmi,cos,graph
M19,yes,yes,1,flat,forward,ppmi,corr,space
M20,yes,yes,1,flat,forward,ppmi,corr,graph
M21,yes,yes,1,flat,forward,ppmi,r_distance,space
M22,yes,yes,1,flat,forward,ppmi,r_distance,graph
M23,yes,yes,1,flat,forward,ppmi,r_cos,space
M24,yes,yes,1,flat,forward,ppmi,r_cos,graph
M25,yes,yes,1,flat,forward,ppmi,r_corr,space
M26,yes,yes,1,flat,forward,ppmi,r_corr,graph
M27,yes,yes,1,flat,forward,ppmi,cooc,space
M28,yes,yes,1,flat,forward,ppmi,cooc,graph
M29,yes,yes,1,flat,forward,non,distance,space
M30,yes,yes,1,flat,forward,non,distance,graph
M31,yes,yes,1,flat,forward,non,cos,space
M32,yes,yes,1,flat,forward,non,cos,graph
M33,yes,yes,1,flat,forward,non,corr,space
M34,yes,yes,1,flat,forward,non,corr,graph
M35,yes,yes,1,flat,forward,non,r_distance,space
M36,yes,yes,1,flat,forward,non,r_distance,graph
M37,yes,yes,1,flat,forward,non,r_cos,space
M38,yes,yes,1,flat,forward,non,r_cos,graph
M39,yes,yes,1,flat,forward,non,r_corr,space
M40,yes,yes,1,flat,forward,non,r_corr,graph
M41,yes,yes,1,flat,forward,non,cooc,space
M42,yes,yes,1,flat,forward,non,cooc,graph
M43,yes,yes,1,flat,backward,log,distance,space
M44,yes,yes,1,flat,backward,log,distance,graph
M45,yes,yes,1,flat,backward,log,cos,space
M46,yes,yes,1,flat,backward,log,cos,graph
M47,yes,yes,1,flat,backward,log,corr,space
M48,yes,yes,1,flat,backward,log,corr,graph
M49,yes,yes,1,flat,backward,log,r_distance,space
M50,yes,yes,1,flat,backward,log,r_distance,graph
M51,yes,yes,1,flat,backward,log,r_cos,space
M52,yes,yes,1,flat,backward,log,r_cos,graph
M53,yes,yes,1,flat,backward,log,r_corr,space
M54,yes,yes,1,flat,backward,log,r_corr,graph
M55,yes,yes,1,flat,backward,log,cooc,space
M56,yes,yes,1,flat,backward,log,cooc,graph
M57,yes,yes,1,flat,backward,ppmi,distance,space
M58,yes,yes,1,flat,backward,ppmi,distance,graph
M59,yes,yes,1,flat,backward,ppmi,cos,space
M60,yes,yes,1,flat,backward,ppmi,cos,graph
M61,yes,yes,1,flat,backward,ppmi,corr,space
M62,yes,yes,1,flat,backward,ppmi,corr,graph
M63,yes,yes,1,flat,backward,ppmi,r_distance,space
M64,yes,yes,1,flat,backward,ppmi,r_distance,graph
M65,yes,yes,1,flat,backward,ppmi,r_cos,space
M66,yes,yes,1,flat,backward,ppmi,r_cos,graph
M67,yes,yes,1,flat,backward,ppmi,r_corr,space
M68,yes,yes,1,flat,backward,ppmi,r_corr,graph
M69,yes,yes,1,flat,backward,ppmi,cooc,space
M70,yes,yes,1,flat,backward,ppmi,cooc,graph
M71,yes,yes,1,flat,backward,non,distance,space
M72,yes,yes,1,flat,backward,non,distance,graph
M73,yes,yes,1,flat,backward,non,cos,space
M74,yes,yes,1,flat,backward,non,cos,graph
M75,yes,yes,1,flat,backward,non,corr,space
M76,yes,yes,1,flat,backward,non,corr,graph
M77,yes,yes,1,flat,backward,non,r_distance,space
M78,yes,yes,1,flat,backward,non,r_distance,graph
M79,yes,yes,1,flat,backward,non,r_cos,space
M80,yes,yes,1,flat,backward,non,r_cos,graph
M81,yes,yes,1,flat,backward,non,r_corr,space
M82,yes,yes,1,flat,backward,non,r_corr,graph
M83,yes,yes,1,flat,backward,non,cooc,space
M84,yes,yes,1,flat,backward,non,cooc,graph
M85,yes,yes,1,flat,summed,log,distance,space
M86,yes,yes,1,flat,summed,log,distance,graph
M87,yes,yes,1,flat,summed,log,cos,space
M88,yes,yes,1,flat,summed,log,cos,graph
M89,yes,yes,1,flat,summed,log,corr,space
M90,yes,yes,1,flat,summed,log,corr,graph
M91,yes,yes,1,flat,summed,log,r_distance,space
M92,yes,yes,1,flat,summed,log,r_distance,graph
M93,yes,yes,1,flat,summed,log,r_cos,space
M94,yes,yes,1,flat,summed,log,r_cos,graph
M95,yes,yes,1,flat,summed,log,r_corr,space
M96,yes,yes,1,flat,summed,log,r_corr,graph
M97,yes,yes,1,flat,summed,log,cooc,space
M98,yes,yes,1,flat,summed,log,cooc,graph
M99,yes,yes,1,flat,summed,ppmi,distance,space
