,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,run,performance
0,M1,yes,yes,1,flat,forward,log,distance,space,R1,0.0
1,M2,yes,yes,1,flat,forward,log,distance,graph,R1,0.7228062120713588
2,M3,yes,yes,1,flat,forward,log,cos,space,R1,0.7555254794687231
3,M4,yes,yes,1,flat,forward,log,cos,graph,R1,0.7234858499528254
4,M5,yes,yes,1,flat,forward,log,corr,space,R1,-0.7357944376844164
5,M6,yes,yes,1,flat,forward,log,corr,graph,R1,-0.3426467869608442
6,M7,yes,yes,1,flat,forward,log,r_distance,space,R1,0.7357944376844164
7,M8,yes,yes,1,flat,forward,log,r_distance,graph,R1,0.7048922502909999
8,M9,yes,yes,1,flat,forward,log,r_cos,space,R1,0.05043592970555531
9,M10,yes,yes,1,flat,forward,log,r_cos,graph,R1,0.11263932162454521
10,M11,yes,yes,1,flat,forward,log,r_corr,space,R1,0.2697817289956781
11,M12,yes,yes,1,flat,forward,log,r_corr,graph,R1,0.29442444044254146
12,M13,yes,yes,1,flat,forward,log,cooc,space,R1,0.5845558535948168
13,M14,yes,yes,1,flat,forward,log,cooc,graph,R1,0.742002076438875
14,M15,yes,yes,1,flat,forward,ppmi,distance,space,R1,0.7372033557949429
15,M16,yes,yes,1,flat,forward,ppmi,distance,graph,R1,0.6125519629306829
16,M17,yes,yes,1,flat,forward,ppmi,cos,space,R1,0.7555254794687231
17,M18,yes,yes,1,flat,forward,ppmi,cos,graph,R1,0.7234858499528254
18,M19,yes,yes,1,flat,forward,ppmi,corr,space,R1,-0.7174549340465365
19,M20,yes,yes,1,flat,forward,ppmi,corr,graph,R1,-0.3578139831258869
20,M21,yes,yes,1,flat,forward,ppmi,r_distance,space,R1,0.7542147374257446
21,M22,yes,yes,1,flat,forward,ppmi,r_distance,graph,R1,0.6860597154920018
22,M23,yes,yes,1,flat,forward,ppmi,r_cos,space,R1,-0.35946300510725604
23,M24,yes,yes,1,flat,forward,ppmi,r_cos,graph,R1,-0.23833891542737767
24,M25,yes,yes,1,flat,forward,ppmi,r_corr,space,R1,0.1728959520294555
25,M26,yes,yes,1,flat,forward,ppmi,r_corr,graph,R1,0.2133320574391235
26,M27,yes,yes,1,flat,forward,ppmi,cooc,space,R1,0.584078369467287
27,M28,yes,yes,1,flat,forward,ppmi,cooc,graph,R1,0.817974153766731
28,M29,yes,yes,1,flat,forward,non,distance,space,R1,0.6917682014439346
29,M30,yes,yes,1,flat,forward,non,distance,graph,R1,0.6540128354848148
30,M31,yes,yes,1,flat,forward,non,cos,space,R1,0.7555254794687231
31,M32,yes,yes,1,flat,forward,non,cos,graph,R1,0.7234858499528254
32,M33,yes,yes,1,flat,forward,non,corr,space,R1,-0.7338280143803472
33,M34,yes,yes,1,flat,forward,non,corr,graph,R1,-0.18369926627961716
34,M35,yes,yes,1,flat,forward,non,r_distance,space,R1,0.6898884665209712
35,M36,yes,yes,1,flat,forward,non,r_distance,graph,R1,0.657563265922988
36,M37,yes,yes,1,flat,forward,non,r_cos,space,R1,0.08201196778885467
37,M38,yes,yes,1,flat,forward,non,r_cos,graph,R1,0.25540929585422123
38,M39,yes,yes,1,flat,forward,non,r_corr,space,R1,0.2925055783162372
39,M40,yes,yes,1,flat,forward,non,r_corr,graph,R1,0.29529846550713457
40,M41,yes,yes,1,flat,forward,non,cooc,space,R1,0.6004368203752278
41,M42,yes,yes,1,flat,forward,non,cooc,graph,R1,0.6881865395367401
42,M43,yes,yes,1,flat,backward,log,distance,space,R1,0.7280376884495846
43,M44,yes,yes,1,flat,backward,log,distance,graph,R1,0.7496194942802696
44,M45,yes,yes,1,flat,backward,log,cos,space,R1,0.7405213508253923
45,M46,yes,yes,1,flat,backward,log,cos,graph,R1,0.5936328514582918
46,M47,yes,yes,1,flat,backward,log,corr,space,R1,-0.7285127538254081
47,M48,yes,yes,1,flat,backward,log,corr,graph,R1,-0.7509560453076624
48,M49,yes,yes,1,flat,backward,log,r_distance,space,R1,0.7323567713417141
49,M50,yes,yes,1,flat,backward,log,r_distance,graph,R1,0.5262092883409608
50,M51,yes,yes,1,flat,backward,log,r_cos,space,R1,-0.49202717253802614
51,M52,yes,yes,1,flat,backward,log,r_cos,graph,R1,-0.2831218530974807
52,M53,yes,yes,1,flat,backward,log,r_corr,space,R1,0.717330488670323
53,M54,yes,yes,1,flat,backward,log,r_corr,graph,R1,0.6925009717297881
54,M55,yes,yes,1,flat,backward,log,cooc,space,R1,0.4958175964891127
55,M56,yes,yes,1,flat,backward,log,cooc,graph,R1,0.6924007594907102
56,M57,yes,yes,1,flat,backward,ppmi,distance,space,R1,0.761925685258331
57,M58,yes,yes,1,flat,backward,ppmi,distance,graph,R1,0.3477260256267151
58,M59,yes,yes,1,flat,backward,ppmi,cos,space,R1,0.7516098840159099
59,M60,yes,yes,1,flat,backward,ppmi,cos,graph,R1,0.655561042182459
60,M61,yes,yes,1,flat,backward,ppmi,corr,space,R1,-0.08123617926582641
61,M62,yes,yes,1,flat,backward,ppmi,corr,graph,R1,0.061704105764638105
62,M63,yes,yes,1,flat,backward,ppmi,r_distance,space,R1,0.7500357489087057
63,M64,yes,yes,1,flat,backward,ppmi,r_distance,graph,R1,0.3500884271554275
64,M65,yes,yes,1,flat,backward,ppmi,r_cos,space,R1,0.32288938775200227
65,M66,yes,yes,1,flat,backward,ppmi,r_cos,graph,R1,0.2766798312300299
66,M67,yes,yes,1,flat,backward,ppmi,r_corr,space,R1,0.5723948556595487
67,M68,yes,yes,1,flat,backward,ppmi,r_corr,graph,R1,0.33988623189628037
68,M69,yes,yes,1,flat,backward,ppmi,cooc,space,R1,0.4897332343671503
69,M70,yes,yes,1,flat,backward,ppmi,cooc,graph,R1,0.8129283039405822
70,M71,yes,yes,1,flat,backward,non,distance,space,R1,0.7117422822184141
71,M72,yes,yes,1,flat,backward,non,distance,graph,R1,0.6840169001714929
72,M73,yes,yes,1,flat,backward,non,cos,space,R1,0.7198122495319066
73,M74,yes,yes,1,flat,backward,non,cos,graph,R1,0.7090914764038196
74,M75,yes,yes,1,flat,backward,non,corr,space,R1,-0.7071086625685282
75,M76,yes,yes,1,flat,backward,non,corr,graph,R1,-0.7237478417720482
76,M77,yes,yes,1,flat,backward,non,r_distance,space,R1,0.7181759362862667
77,M78,yes,yes,1,flat,backward,non,r_distance,graph,R1,0.4985569648384992
78,M79,yes,yes,1,flat,backward,non,r_cos,space,R1,0.7186391593791522
79,M80,yes,yes,1,flat,backward,non,r_cos,graph,R1,0.5222323164428377
80,M81,yes,yes,1,flat,backward,non,r_corr,space,R1,0.1368309547150923
81,M82,yes,yes,1,flat,backward,non,r_corr,graph,R1,0.3472987788437824
82,M83,yes,yes,1,flat,backward,non,cooc,space,R1,0.5008035381052667
83,M84,yes,yes,1,flat,backward,non,cooc,graph,R1,0.689905016070648
84,M85,yes,yes,1,flat,summed,log,distance,space,R1,0.7115965461300151
85,M86,yes,yes,1,flat,summed,log,distance,graph,R1,0.7578093628698876
86,M87,yes,yes,1,flat,summed,log,cos,space,R1,0.7555254794687231
87,M88,yes,yes,1,flat,summed,log,cos,graph,R1,0.6517686793531947
88,M89,yes,yes,1,flat,summed,log,corr,space,R1,-0.7115965461300151
89,M90,yes,yes,1,flat,summed,log,corr,graph,R1,-0.4699266758688088
90,M91,yes,yes,1,flat,summed,log,r_distance,space,R1,0.7098885398149463
91,M92,yes,yes,1,flat,summed,log,r_distance,graph,R1,0.7610133509615261
92,M93,yes,yes,1,flat,summed,log,r_cos,space,R1,-0.7085975837238603
93,M94,yes,yes,1,flat,summed,log,r_cos,graph,R1,-0.5557400014950324
94,M95,yes,yes,1,flat,summed,log,r_corr,space,R1,-0.16026781906485385
95,M96,yes,yes,1,flat,summed,log,r_corr,graph,R1,-0.3573770393469248
96,M97,yes,yes,1,flat,summed,log,cooc,space,R1,0.7667842109845189
97,M98,yes,yes,1,flat,summed,log,cooc,graph,R1,0.8573875339891057
98,M99,yes,yes,1,flat,summed,ppmi,distance,space,R1,0.7424036670095718
99,M100,yes,yes,1,flat,summed,ppmi,distance,graph,R1,0.33913648054882956
100,M101,yes,yes,1,flat,summed,ppmi,cos,space,R1,0.7555254794687231
101,M102,yes,yes,1,flat,summed,ppmi,cos,graph,R1,0.6505855517587208
102,M103,yes,yes,1,flat,summed,ppmi,corr,space,R1,-0.6923591880516814
103,M104,yes,yes,1,flat,summed,ppmi,corr,graph,R1,-0.06958829113670892
104,M105,yes,yes,1,flat,summed,ppmi,r_distance,space,R1,0.7496913213693042
105,M106,yes,yes,1,flat,summed,ppmi,r_distance,graph,R1,0.4110747869633796
106,M107,yes,yes,1,flat,summed,ppmi,r_cos,space,R1,0.5345342278630665
107,M108,yes,yes,1,flat,summed,ppmi,r_cos,graph,R1,0.24645515044688301
108,M109,yes,yes,1,flat,summed,ppmi,r_corr,space,R1,0.34373966718280646
109,M110,yes,yes,1,flat,summed,ppmi,r_corr,graph,R1,0.13808691605891796
110,M111,yes,yes,1,flat,summed,ppmi,cooc,space,R1,0.7617625112337464
111,M112,yes,yes,1,flat,summed,ppmi,cooc,graph,R1,0.5275645900105644
112,M113,yes,yes,1,flat,summed,non,distance,space,R1,0.6905018347692924
113,M114,yes,yes,1,flat,summed,non,distance,graph,R1,0.6614017436660133
114,M115,yes,yes,1,flat,summed,non,cos,space,R1,0.7555254794687231
115,M116,yes,yes,1,flat,summed,non,cos,graph,R1,0.6512078617417061
116,M117,yes,yes,1,flat,summed,non,corr,space,R1,-0.7104971218010372
117,M118,yes,yes,1,flat,summed,non,corr,graph,R1,-0.47026122069964293
118,M119,yes,yes,1,flat,summed,non,r_distance,space,R1,0.6903474119056519
119,M120,yes,yes,1,flat,summed,non,r_distance,graph,R1,0.662957429740878
120,M121,yes,yes,1,flat,summed,non,r_cos,space,R1,-0.26707871502103553
121,M122,yes,yes,1,flat,summed,non,r_cos,graph,R1,-0.2935950663276612
122,M123,yes,yes,1,flat,summed,non,r_corr,space,R1,-0.3197382099785134
123,M124,yes,yes,1,flat,summed,non,r_corr,graph,R1,0.6843515336391088
124,M125,yes,yes,1,flat,summed,non,cooc,space,R1,0.7818678865465635
125,M126,yes,yes,1,flat,summed,non,cooc,graph,R1,0.3237736552294839
126,M127,yes,yes,1,linear,forward,log,distance,space,R1,0.7357944376844164
127,M128,yes,yes,1,linear,forward,log,distance,graph,R1,0.7228062120713588
128,M129,yes,yes,1,linear,forward,log,cos,space,R1,0.7555254794687231
129,M130,yes,yes,1,linear,forward,log,cos,graph,R1,0.7234858499528254
130,M131,yes,yes,1,linear,forward,log,corr,space,R1,-0.7357944376844164
131,M132,yes,yes,1,linear,forward,log,corr,graph,R1,-0.3426467869608442
132,M133,yes,yes,1,linear,forward,log,r_distance,space,R1,0.7325110974458529
133,M134,yes,yes,1,linear,forward,log,r_distance,graph,R1,0.6895758722879681
134,M135,yes,yes,1,linear,forward,log,r_cos,space,R1,0.0014420829627789919
135,M136,yes,yes,1,linear,forward,log,r_cos,graph,R1,-0.03367041781135206
136,M137,yes,yes,1,linear,forward,log,r_corr,space,R1,0.15708280813711328
137,M138,yes,yes,1,linear,forward,log,r_corr,graph,R1,0.4178029610520113
138,M139,yes,yes,1,linear,forward,log,cooc,space,R1,0.5845558535948168
139,M140,yes,yes,1,linear,forward,log,cooc,graph,R1,0.7301177428401342
140,M141,yes,yes,1,linear,forward,ppmi,distance,space,R1,0.7372033557949429
141,M142,yes,yes,1,linear,forward,ppmi,distance,graph,R1,0.6403846860679161
142,M143,yes,yes,1,linear,forward,ppmi,cos,space,R1,0.7555254794687231
143,M144,yes,yes,1,linear,forward,ppmi,cos,graph,R1,0.7234858499528254
144,M145,yes,yes,1,linear,forward,ppmi,corr,space,R1,-0.7144385287660202
145,M146,yes,yes,1,linear,forward,ppmi,corr,graph,R1,-0.35311201803002473
146,M147,yes,yes,1,linear,forward,ppmi,r_distance,space,R1,0.7522318156405593
147,M148,yes,yes,1,linear,forward,ppmi,r_distance,graph,R1,0.6822596364161665
148,M149,yes,yes,1,linear,forward,ppmi,r_cos,space,R1,0.19471344492866985
149,M150,yes,yes,1,linear,forward,ppmi,r_cos,graph,R1,0.16710426851754223
150,M151,yes,yes,1,linear,forward,ppmi,r_corr,space,R1,0.06982285339206351
151,M152,yes,yes,1,linear,forward,ppmi,r_corr,graph,R1,0.24883872144072064
152,M153,yes,yes,1,linear,forward,ppmi,cooc,space,R1,0.584078369467287
